id	cluster_size
NC_000913.3_1428	2
NC_000913.3_896	1
NC_000913.3_1951	1
NC_000913.3_1242	1
NC_000913.3_4202	1
NC_000913.3_1381	2
NC_000913.3_2080	1
NC_000913.3_465	1
NC_000913.3_1200	1
NC_000913.3_3499	2
NC_000913.3_607	1
NC_000913.3_3294	1
NC_000913.3_680	1
NC_000913.3_3869	1
NC_000913.3_1040	1
NC_000913.3_2775	1
NC_000913.3_2737	2
NC_000913.3_3925	1
NC_000913.3_54	1
NC_000913.3_246	1
NC_000913.3_2625	1
NC_000913.3_325	1
NC_000913.3_70	1
NC_000913.3_4311	1
NC_000913.3_1065	1
NC_000913.3_3711	1
NC_000913.3_3610	1
NC_000913.3_3143	1
NC_000913.3_3000	1
NC_000913.3_2510	1
NC_000913.3_1792	1
NC_000913.3_1254	1
NC_000913.3_3883	1
NC_000913.3_3478	2
NC_000913.3_3048	1
NC_000913.3_2431	1
NC_000913.3_2774	1
NC_000913.3_3573	1
NC_000913.3_2469	1
NC_000913.3_2632	1
NC_000913.3_3678	1
NC_000913.3_4089	1
NC_000913.3_636	1
NC_000913.3_2859	8
NC_000913.3_4039	2
NC_000913.3_3393	1
NC_000913.3_1226	1
NC_000913.3_4124	1
NC_000913.3_3594	1
NC_000913.3_1091	1
NC_000913.3_2467	1
NC_000913.3_3418	1
NC_000913.3_926	1
NC_000913.3_532	1
NC_000913.3_1774	1
NC_000913.3_3172	8
NC_000913.3_1298	1
NC_000913.3_1190	1
NC_000913.3_2057	1
NC_000913.3_3635	1
NC_000913.3_725	1
NC_000913.3_1377	1
NC_000913.3_913	1
NC_000913.3_4008	1
NC_000913.3_2522	1
NC_000913.3_2678	1
NC_000913.3_1454	3
NC_000913.3_1184	1
NC_000913.3_106	1
NC_000913.3_3310	5
NC_000913.3_2807	1
NC_000913.3_3519	1
NC_000913.3_571	7
NC_000913.3_690	1
NC_000913.3_2560	1
NC_000913.3_1726	1
NC_000913.3_3050	1
NC_000913.3_4006	1
NC_000913.3_105	1
NC_000913.3_458	1
NC_000913.3_1972	1
NC_000913.3_2924	1
NC_000913.3_2786	2
NC_000913.3_3424	1
NC_000913.3_2208	1
NC_000913.3_2483	4
NC_000913.3_1223	1
NC_000913.3_1417	1
NC_000913.3_2262	1
NC_000913.3_289	1
NC_000913.3_65	1
NC_000913.3_2407	1
NC_000913.3_1125	1
NC_000913.3_1171	1
NC_000913.3_2635	2
NC_000913.3_1733	1
NC_000913.3_2628	2
NC_000913.3_1796	1
NC_000913.3_1099	1
NC_000913.3_2023	1
NC_000913.3_1728	1
NC_000913.3_3069	1
NC_000913.3_3928	1
NC_000913.3_3160	1
NC_000913.3_2896	1
NC_000913.3_1673	2
NC_000913.3_4275	1
NC_000913.3_1524	1
NC_000913.3_2458	1
NC_000913.3_473	1
NC_000913.3_214	1
NC_000913.3_3419	1
NC_000913.3_574	1
NC_000913.3_3466	2
NC_000913.3_3551	1
NC_000913.3_130	4
NC_000913.3_2842	1
NC_000913.3_1234	1
NC_000913.3_1265	1
NC_000913.3_4226	1
NC_000913.3_1609	1
NC_000913.3_773	1
NC_000913.3_3535	1
NC_000913.3_505	1
NC_000913.3_1570	1
NC_000913.3_383	1
NC_000913.3_2698	1
NC_000913.3_79	1
NC_000913.3_145	1
NC_000913.3_3179	1
NC_000913.3_3334	1
NC_000913.3_1398	3
NC_000913.3_41	2
NC_000913.3_2596	3
NC_000913.3_1548	1
NC_000913.3_1888	1
NC_000913.3_874	2
NC_000913.3_1473	1
NC_000913.3_4109	1
NC_000913.3_167	1
NC_000913.3_933	1
NC_000913.3_1550	3
NC_000913.3_1561	1
NC_000913.3_3574	1
NC_000913.3_3477	1
NC_000913.3_3283	2
NC_000913.3_2042	2
NC_000913.3_1572	2
NC_000913.3_422	1
NC_000913.3_1348	1
NC_000913.3_3186	1
NC_000913.3_4158	1
NC_000913.3_2647	1
NC_000913.3_1145	1
NC_000913.3_3947	1
NC_000913.3_1665	1
NC_000913.3_914	1
NC_000913.3_1023	1
NC_000913.3_2658	1
NC_000913.3_771	1
NC_000913.3_2593	1
NC_000913.3_47	1
NC_000913.3_836	1
NC_000913.3_127	1
NC_000913.3_2284	1
NC_000913.3_2432	1
NC_000913.3_3413	1
NC_000913.3_2721	1
NC_000913.3_2072	1
NC_000913.3_2573	1
NC_000913.3_791	1
NC_000913.3_3276	1
NC_000913.3_2199	1
NC_000913.3_266	1
NC_000913.3_1358	1
NC_000913.3_4160	1
NC_000913.3_2220	1
NC_000913.3_1152	1
NC_000913.3_2004	1
NC_000913.3_4114	1
NC_000913.3_4255	1
NC_000913.3_66	1
NC_000913.3_2752	1
NC_000913.3_3701	1
NC_000913.3_3565	1
NC_000913.3_3683	1
NC_000913.3_2971	1
