source	target	abs_weight	norm_weight
NC_000913.3_1428	NC_000913.3_3411	1	0.5
NC_000913.3_1428	NC_000913.3_3528	1	0.5
NC_000913.3_4202	NC_000913.3_4201	1	1.0
NC_000913.3_4202	NC_000913.3_4203	1	1.0
NC_000913.3_3499	NC_000913.3_2317	1	0.25
NC_000913.3_3499	NC_000913.3_1221	1	0.5
NC_000913.3_607	NC_000913.3_606	1	1.0
NC_000913.3_607	NC_000913.3_608	1	1.0
NC_000913.3_680	NC_000913.3_679	1	1.0
NC_000913.3_680	NC_000913.3_681	1	1.0
NC_000913.3_3869	NC_000913.3_1908	1	0.09090909090909091
NC_000913.3_1040	NC_000913.3_1039	1	1.0
NC_000913.3_1040	NC_000913.3_833	1	0.16666666666666666
NC_000913.3_2775	NC_000913.3_2774	1	1.0
NC_000913.3_54	NC_000913.3_55	1	1.0
NC_000913.3_70	NC_000913.3_71	1	1.0
NC_000913.3_1065	NC_000913.3_1064	1	1.0
NC_000913.3_3711	NC_000913.3_3279	1	0.25
NC_000913.3_3711	NC_000913.3_3712	1	1.0
NC_000913.3_3883	NC_000913.3_3884	1	1.0
NC_000913.3_3478	NC_000913.3_1312	1	0.5
NC_000913.3_3478	NC_000913.3_1314	1	0.5
NC_000913.3_3048	NC_000913.3_3049	1	1.0
NC_000913.3_2774	NC_000913.3_2773	1	1.0
NC_000913.3_2632	NC_000913.3_2633	1	0.5
NC_000913.3_2859	NC_000913.3_1118	1	0.125
NC_000913.3_2859	NC_000913.3_1120	1	0.125
NC_000913.3_2859	NC_000913.3_2102	1	0.006944444444444444
NC_000913.3_2859	NC_000913.3_3238	1	0.125
NC_000913.3_4039	NC_000913.3_3002	1	0.5
NC_000913.3_3393	NC_000913.3_1432	1	0.16666666666666666
NC_000913.3_1091	NC_000913.3_1090	1	1.0
NC_000913.3_1091	NC_000913.3_1092	1	1.0
NC_000913.3_2467	NC_000913.3_2468	1	1.0
NC_000913.3_3418	NC_000913.3_3419	1	1.0
NC_000913.3_926	NC_000913.3_927	1	1.0
NC_000913.3_532	NC_000913.3_533	1	1.0
NC_000913.3_3172	NC_000913.3_2102	1	0.006944444444444444
NC_000913.3_3172	NC_000913.3_1366	1	0.125
NC_000913.3_3172	NC_000913.3_1773	1	0.008333333333333333
NC_000913.3_3172	NC_000913.3_2493	1	0.125
NC_000913.3_1298	NC_000913.3_2921	1	1.0
NC_000913.3_2057	NC_000913.3_1750	1	0.04
NC_000913.3_3635	NC_000913.3_3636	1	1.0
NC_000913.3_725	NC_000913.3_724	1	1.0
NC_000913.3_725	NC_000913.3_726	1	1.0
NC_000913.3_913	NC_000913.3_912	1	1.0
